id,affinity
6aff,5.41
2q8i,3.40
3qx9,4.05
2g8n,7.20
1bnw,9.08
5bot,4.41
4wkc,12.68
5n1x,3.16
4duh,5.18
1g1d,9.44
6mx8,9.43
2clo,4.06
2z9g,6.15
5yfs,4.86
4jln,7.78
3zlk,5.88
3fi2,7.60
1ony,6.77
5kly,7.21
4mh7,5.23
3iss,6.05
5bwc,7.21
3anq,6.74
1eoc,6.05
5uoo,8.85
2ca8,4.66
3dpk,8.39
4nah,6.31
4jx7,6.91
2qtt,4.32
5un9,7.68
2r9m,8.82
3lk0,3.16
2pmn,5.20
4hxz,6.05
3hr1,9.43
3v1r,7.68
3r7o,8.36
3oki,7.15
1k21,8.38
5icp,8.42
1aj6,5.92
3ctt,6.35
3gt9,3.96
2ybs,4.59
5mz3,6.66
4i72,9.05
6f29,5.49
184l,4.72
6agg,4.07
3bc5,8.30
3ua9,7.25
6dnp,5.18
5l3a,4.89
2v54,4.60
3s2p,7.17
3hkw,8.64
4zlz,7.00
3q1x,5.33
5ijr,3.20
1rw8,6.76
3uph,7.82
6fng,7.14
5lma,6.60
2fq6,7.10
4dhq,4.49
5law,7.10
4dhm,3.78
4kio,6.30
1nhg,7.30
5a2s,7.70
6fer,4.36
3tt4,8.28
2xkc,5.59
1h1s,8.22
5x4q,7.11
3llm,4.74
3qpn,7.77
3rm9,4.77
4ufh,6.42
4ej2,2.49
4mma,6.04
1a50,6.70
5f9b,4.26
5eps,4.42
5a3t,8.40
1c3b,7.57
4exg,8.07
4zim,8.62
1pb8,5.15
2jb6,10.96
3jq8,4.46
3dp9,9.68
4q0l,7.70
3sfc,8.52
3vje,8.01
1bdl,5.85
3nzs,7.12
1cbx,6.35
4f9u,6.03
3nus,3.51
1w5w,8.80
4qtn,6.85
3byu,9.10
3aza,5.13
4n4v,8.70
5neb,7.77
6cfd,7.86
3iog,5.52
2xhx,6.60
2b8l,7.82
5j87,8.05
1g54,8.82
4mre,2.19
4ono,5.19
1ppm,5.80
4zqt,5.64
4ymb,6.21
3djf,6.10
2cht,5.52
4l19,6.10
4m84,7.31
2hny,5.93
3b7u,7.74
3cde,7.66
4res,7.85
1hk1,5.64
5hkb,5.59
5t18,9.30
5ws3,8.96
3o56,9.10
1i90,8.89
3vfq,5.19
3hmp,5.49
3hec,4.47
5i8b,6.96
3uxl,5.57
4q3s,6.59
4mcv,8.89
4yjn,7.92
5he4,7.70
6as6,4.82
3dxk,6.33
3fum,3.77
5nar,6.30
3fed,7.46
4qw5,6.35
1h1h,5.22
2r5q,8.57
5wzv,6.68
2j7e,7.32
3oyw,4.11
4mm5,7.74
4b5w,3.33
3k02,5.00
1dif,10.66
5ylv,6.82
5duf,5.74
1m5c,6.30
5j7q,4.58
4uuh,7.77
4irx,6.12
3ixg,7.57
3hit,8.19
4bi7,4.58
1ilh,7.39
3kqw,4.01
4u69,4.26
1ftj,6.09
3pdq,6.74
6bod,4.26
6cvv,4.12
2e9n,8.21
5efc,4.85
2zit,4.46
1xoe,7.39
2vu3,7.33
2iiv,8.18
1stc,8.10
5dlx,5.70
2q7m,8.80
4pp0,4.40
1gar,10.00
4wyo,6.95
3e8r,9.74
1yqj,8.14
2py4,6.70
1e34,2.88
1ypg,8.00
3k4d,5.11
3u92,7.48
5iee,4.94
5adq,5.70
4ago,4.81
4p4t,4.39
5qcm,6.96
3arx,5.33
3zly,3.52
3dpd,5.78
1qiw,7.74
3br9,7.21
1o5f,6.07
1ec1,8.92
1fq7,5.43
1x78,7.85
3o0u,7.92
1x07,3.28
5kbi,5.39
3sdk,6.80
4bdt,8.96
2bks,7.43
6cj1,5.27
3lvp,8.70
2anl,6.96
4zw8,5.96
4x6x,8.64
1elc,6.66
2vrj,6.30
4ipn,3.39
1nf8,7.82
5cnm,6.81
3ad8,3.16
2f70,4.47
5w4v,7.15
5sy3,4.37
5c1m,10.80
5l44,4.40
6d56,8.05
2w05,9.00
3p4v,5.10
3oe6,8.09
1o2r,5.21
1ypj,7.02
3nzk,9.27
3mt7,4.03
3q43,7.37
2x38,6.89
5vo2,6.81
1lan,7.22
3bb1,3.60
1nja,6.31
4wmy,7.07
1q54,5.85
3fvg,6.89
3s73,8.70
3kr4,7.60
5ef7,9.00
4fod,8.92
6gl9,6.87
3buh,3.66
5b0x,7.70
3ao5,2.23
2pri,2.91
4p10,8.10
3w5e,7.96
3lbz,3.86
4p00,6.40
4n4s,6.88
1juy,7.66
1yy4,8.60
2p33,7.24
5l7e,6.60
4knn,7.78
4ppc,9.03
5l7g,7.80
1mmp,6.07
4bnv,7.52
1nvs,7.82
1yei,7.46
5jqb,2.22
5ct7,7.15
1ado,6.00
3fjz,4.05
5b25,10.24
4ual,8.40
5u0z,6.19
4att,6.98
3d28,5.85
2w7x,7.62
5jaz,6.55
4qy3,6.82
6fo7,7.87
4cwp,6.77
5j8m,6.80
4qt0,6.29
3dnd,4.80
5ekx,2.03
3jzf,5.30
2ozr,9.17
4tw7,7.59
3pcc,3.62
3ind,5.82
5nw7,5.77
3i5n,7.85
1y20,5.32
5w1e,5.24
5eqe,3.88
3m37,9.04
5flt,2.89
4zzy,5.60
5a81,5.54
3uoh,7.89
3si3,4.16
4bcn,7.92
2b1q,1.59
5d12,7.37
6eq1,4.61
6cw4,2.82
1h01,4.66
1utj,3.84
2j4i,9.00
3cd8,8.05
5ei8,8.10
4du8,5.37
5vo1,8.15
5m4q,3.51
4q09,8.17
5f2k,6.16
5ttv,7.54
3dx4,7.12
4xcu,8.22
4qz6,5.53
7cpa,13.96
2hy0,9.19
2yex,10.00
5kzq,8.28
4mx1,3.68
2jst,2.59
2pj8,7.74
2xkd,5.64
2ycs,8.87
5izm,5.92
5aip,2.82
4c70,3.52
3qd4,8.20
5ety,7.51
5o91,6.46
5ei2,7.34
4zs2,5.49
3zeb,6.13
6h7k,9.31
5lmb,7.80
4eny,7.05
4nk3,6.33
5v41,6.15
4um3,7.54
4ewo,7.36
1y0x,8.70
2y5k,6.66
3fnu,6.16
5drq,10.92
4b35,2.89
5uv2,4.40
3olf,7.70
1p1o,5.76
2yc0,2.82
1w96,8.41
1iy7,6.19
5ts0,7.80
2bys,9.52
2uw5,7.51
4zx6,5.27
4lqy,3.89
5kx8,7.42
5ap3,7.03
1l5s,3.26
4ehv,2.29
5y6e,7.86
4p74,5.00
3f39,1.78
5wbm,4.70
3hb8,5.12
5jar,5.70
5hbs,7.73
2qi0,7.38
4ty9,2.05
4mt9,10.00
2j79,5.96
4tki,6.38
2qzk,7.57
4dei,9.00
3vw9,7.96
4bb9,6.00
2r3w,6.89
4w57,4.85
3lxg,8.14
2k31,8.70
6hvi,6.42
4hym,8.22
3kw9,9.00
1lpz,7.60
4xu1,9.49
2clk,3.79
4rrr,4.44
1xgi,4.85
4ciy,4.57
4qyh,8.89
2rgp,7.52
5dp7,4.56
5l4e,4.61
3qcq,6.80
4xnv,6.79
6c7e,8.55
2ioa,5.49
4qgg,9.00
2w9h,6.37
1bux,4.85
5o22,8.00
4db7,6.56
2yer,7.70
4rqk,5.82
3sz1,4.66
5j18,9.15
3kb3,6.82
3s71,8.64
1k27,9.00
2ybp,4.62
4d0x,8.10
2cc7,8.01
2v8w,6.82
5edr,7.46
2hnc,7.22
5ey0,2.65
3ce3,8.74
1g9b,5.30
1atr,6.96
3jsw,7.18
1trd,5.40
6gnm,4.26
5vsf,7.03
3oy1,7.80
3h9o,7.15
3t0m,3.94
2pvk,8.30
3as2,3.44
3po1,4.02
4hby,5.36
4wzv,9.37
3ukr,4.92
3nga,8.00
3rkz,7.08
5nkk,5.00
1mq5,9.00
6ehh,7.49
2kfx,4.00
3gur,8.00
3tv5,5.32
2x8d,6.10
5fwr,7.75
1d1p,3.60
4rak,7.85
3wb5,4.57
4muw,8.01
3fqk,7.09
2b53,6.22
4iz0,4.00
4xk9,9.07
3cx9,4.89
1z6q,6.70
5ti7,4.96
2ow9,7.52
4y8d,8.05
2qn3,5.36
5itd,6.58
4l50,6.06
5g1n,7.77
5dtw,5.46
5u14,5.34
4tn2,6.92
5g1z,5.32
2y4s,6.15
3suw,4.70
4wy1,5.29
3p3g,9.74
4bfz,6.26
1pr1,5.30
4mra,4.47
3amv,7.97
4k5m,3.71
4hlg,6.51
4p3h,6.00
5ddb,7.09
2xv1,5.99
2iw8,6.99
4u0s,6.80
4zx3,7.19
2bdj,9.35
5d2r,5.82
2zq2,6.56
1qon,8.96
4ehe,8.49
3p8p,4.55
3io7,7.77
4az0,7.42
5v8h,4.11
3njy,5.77
3l54,8.15
5alx,5.48
3pcf,6.05
4j59,5.85
2bzz,6.43
5vdt,4.68
5fdp,6.51
2f8g,8.70
3wiz,8.36
2btr,7.02
2rcx,9.00
6af9,5.49
1llb,6.05
2y1w,6.33
4loy,8.09
4ibd,3.67
2bge,2.80
4ya8,6.10
5khi,6.77
6etj,6.72
4mrz,3.52
1wc6,4.00
1zxv,6.10
3okh,5.24
6euw,7.77
4nbn,4.36
1yc5,3.00
1wdq,1.98
4y83,7.77
1o2w,5.85
4yo8,10.52
5edi,9.52
6std,8.64
3fh7,7.60
3e6y,5.60
1f4f,4.62
6dcy,5.46
3bu1,8.15
4l0s,6.84
4hlm,6.77
4clb,6.55
3v2w,7.11
2hdu,2.30
3udp,5.22
4axd,4.43
3ry8,3.34
2rg6,8.66
5tjx,6.82
4je7,6.40
4ncg,7.96
3q72,5.80
3kjn,5.19
3pcj,7.22
3sdg,5.55
1sqt,6.20
4r76,7.85
4ozl,4.97
6b1h,8.72
4djx,7.23
4nbk,3.87
1ya4,4.82
3vqs,7.75
4hzx,9.30
1qm4,4.30
5ax3,5.92
5sy2,4.96
5ngb,7.72
1f7b,4.60
5cte,7.80
5kbf,8.92
3djp,4.20
5mtv,4.11
1rnt,5.19
16pk,5.22
4frk,8.10
2uwl,8.40
1tow,6.24
2xef,9.84
5waf,9.35
5eif,2.55
1wvj,6.73
3cpb,4.60
4cu1,4.71
5j9z,7.80
5l9o,5.40
1okz,8.30
4cff,6.40
5mzg,6.86
2gg2,6.60
4dho,3.93
4jp9,7.62
4fs4,6.57
4bic,7.30
1xog,6.39
3adt,4.55
5qau,4.15
4zy6,8.30
2uvm,7.10
4bzn,5.84
6gn1,8.00
4yih,4.66
2pj1,8.01
5vse,5.97
4d1j,6.31
3tdj,5.25
1hvy,6.54
3v7s,7.05
5hk2,8.59
1mai,6.68
4w7p,7.49
3fsm,7.00
4jbs,7.96
5bry,11.82
1d7i,3.60
1ke5,6.25
4ewn,6.70
4cxy,4.93
5dey,8.43
2c5y,6.60
5f6u,2.52
1mau,11.30
3vv6,3.80
6tim,3.21
4ach,7.66
3fuf,2.70
1uvs,5.40
2yi7,8.32
2pvw,9.52
4clj,9.15
6hsz,6.94
4nq6,4.28
3pju,4.88
4c4i,7.66
3m94,5.08
4pyq,5.36
3t0x,8.00
3u7l,7.28
2ow6,2.70
4k9h,7.12
5ktu,6.21
4qn9,4.41
1w1t,2.96
5am3,8.30
3g34,2.96
4yp1,5.04
2iw9,8.05
5gso,6.96
6gpb,4.85
5w6e,8.04
3hng,6.74
6b7a,4.49
2j4z,7.19
3czv,7.80
3i6c,4.92
5y93,5.64
5ar8,8.10
4lwc,6.72
2h3e,5.70
5ks7,5.32
5fas,7.47
6bsm,6.80
3s5y,7.41
5uqx,6.21
5fq9,6.48
4crl,9.71
5ccl,4.77
2c4g,5.94
4xxs,7.28
3sug,6.21
3shj,7.47
4b7n,8.78
5h21,5.19
6bbs,9.89
5j0d,6.87
2ow2,8.22
3h2m,3.67
3cqu,6.82
4msu,5.85
4jin,5.64
1l8g,6.22
5m25,8.19
5kgw,4.79
3ej5,3.57
3rqw,2.70
1yvx,5.10
3t1a,8.37
4ufy,8.15
3k23,8.20
1yw8,8.00
4otw,9.28
2xxw,6.41
3nww,8.15
3gwt,11.10
3vqu,7.43
2hl4,7.64
5mpn,7.07
5wii,4.49
6nao,6.70
4mc9,9.44
3ert,9.60
4pda,4.21
4fxz,7.03
2aux,9.30
4tw6,4.21
3sdi,8.33
4xyf,9.00
3g2i,4.86
3vfa,9.19
5l4m,5.34
3ddf,4.66
2yfx,8.09
5gvn,7.05
6e4w,6.70
5wcm,4.00
1tkc,4.85
2z3h,4.64
5akk,4.00
1lag,6.30
1nhx,5.68
2az5,5.27
3o99,10.82
3rti,7.37
2ohm,3.51
2gvd,7.00
5jhb,6.06
2wkt,4.31
4e3m,9.70
4k9g,5.82
5a7i,5.26
5yzc,5.52
5hk1,8.37
2w71,6.48
5v8q,8.44
3kqs,5.20
5v86,7.10
5lx6,5.72
3bet,5.82
5upf,8.60
2fr3,8.70
3su6,6.02
4q1c,8.70
5vdq,3.67
3rni,5.17
5k0b,6.05
2r3h,4.70
1zge,7.30
3sqq,5.32
5yvt,3.96
5yj8,3.98
2y54,4.70
1fkg,8.00
5fsn,5.77
3pwk,3.35
5y61,1.72
5nkg,7.68
4hxs,5.39
3pwd,6.66
5oci,8.05
3a73,3.38
4pd5,2.86
5odx,6.71
5v5y,7.87
6dh6,9.93
3sm0,6.13
1o0f,5.30
5uff,4.24
5b4k,9.34
1tqf,5.85
5j27,6.74
5aqv,3.43
5cap,7.28
5up0,6.34
4qmu,5.89
2x81,8.30
6bmv,4.68
3hp2,6.17
2fov,7.55
1ym1,6.24
2vtr,5.82
3szb,4.92
4k2g,7.70
6ezg,7.69
2vwl,7.02
2r59,8.19
4phw,10.00
6c0n,8.37
6dh2,10.89
1y8o,5.89
4mw5,7.35
5g60,6.52
5jgi,4.30
6e2n,7.90
4ibe,4.15
4o0t,5.54
4oty,7.40
1ghw,4.20
2nyr,4.66
3mb7,6.70
5auz,4.01
1d4l,8.77
3g8o,7.80
5nrf,6.79
2agv,7.70
5jcb,4.21
1xfv,3.89
4xg4,7.67
1hmr,6.55
4qk4,6.60
4urm,8.05
2csn,4.41
4wyz,4.30
6hh5,4.27
6h34,9.30
2hxm,5.22
5th4,2.85
1tl7,7.92
1ebz,9.40
4lv4,5.00
4da5,6.44
4c73,4.92
2am4,3.72
4jg7,6.92
4ahu,2.27
3lq4,5.22
3c14,3.52
1me7,7.19
5ox6,7.54
3f5k,4.62
2bkt,7.64
6iin,6.08
5one,7.28
3fvk,8.82
2q2n,6.48
4rrq,5.47
5fsb,2.22
6cq4,4.85
4obp,7.77
6cq5,4.24
2np9,5.57
5wal,8.77
3gol,7.09
3h98,8.30
5q0f,9.89
3ft5,4.82
1gcz,5.13
4hyu,8.21
2zdz,6.15
4dce,6.76
4gtt,8.22
1ayu,9.15
6cef,3.74
4jkt,7.09
5h13,4.94
1tmm,6.64
3lir,6.92
4ua8,6.26
4rfy,7.00
3o9l,9.66
6g92,4.12
4zur,7.17
4pv7,6.63
3vrw,9.39
4re3,8.57
1n46,10.52
1r1h,8.92
4hw2,7.26
3ekp,8.89
4qp6,3.46
1odi,4.21
1r4w,4.05
5iwg,6.46
4fp1,4.57
6ew3,7.40
5en3,6.21
3f3v,7.14
4oon,7.52
3hs4,8.00
6ayi,6.68
2ayp,8.15
5eek,9.10
4g0q,2.52
5k7h,6.00
1nl9,5.96
3odu,8.14
5q1f,7.14
5o0j,4.77
5sz1,8.92
4ruz,7.64
4w9k,6.54
5kjn,7.77
2yke,5.96
5anu,9.40
1vzq,7.44
4wkb,11.57
5fnd,3.49
5u12,5.07
3d7g,7.77
2ok1,6.26
3s43,8.60
3tjd,9.00
4zv1,5.24
3bhx,9.15
2zsc,7.06
3s3k,4.01
3sbi,7.92
4gk4,7.85
4oq6,5.48
1mu6,8.38
2xj1,7.55
5hcl,2.22
1tnh,3.37
3sur,4.15
4no9,7.82
5i58,6.92
5t6f,5.80
3r8i,5.35
4z1q,7.82
2xk4,4.77
5qck,7.64
2qoa,7.28
4qpl,7.41
1pzo,3.32
3c6t,8.68
1c87,4.20
5wmt,5.86
6b8y,9.66
1ysi,7.44
3rl3,7.17
2weh,5.95
3hdm,7.40
5umx,5.96
3b24,4.38
1p6d,2.94
1lyx,4.54
2iqg,8.30
1ols,5.82
2v13,7.59
2gni,5.64
5ijj,6.55
1hsh,9.42
1hgi,2.68
1ind,10.05
3s7a,8.96
3v5l,8.15
1gvw,6.96
3hek,8.27
5z1c,2.86
6c91,6.19
4lwi,7.64
3mhl,7.25
4gj6,5.12
4dsy,4.43
4tjz,5.97
5o0b,4.18
6dq4,4.92
3fu6,3.97
4bnu,7.70
5j6n,7.77
6euz,4.18
5kjm,7.19
1nw7,5.09
3my1,5.45
3sie,7.88
3o9c,12.05
6bg3,4.92
2f9u,7.39
4m0f,8.77
1tou,6.00
2an5,5.68
5dyw,8.31
4giu,5.33
5drs,8.96
5als,7.72
3zj6,6.66
3t3y,5.47
4wbg,5.55
4uxq,7.80
5std,10.49
4jpx,5.15
4mhs,5.29
6ce8,3.41
5lxp,6.12
1i7z,6.40
1py5,7.29
1det,4.30
5d7a,7.68
4mk8,9.00
2tmn,5.89
2z7g,8.95
3wk6,5.20
5i38,3.42
3s54,9.64
2fzz,10.52
5lhi,8.11
5l4h,3.75
1cr6,8.51
3tza,5.50
2xi7,5.14
6duf,8.14
4puk,7.28
5juz,5.52
4qz1,5.44
1ogz,5.85
4b7j,7.95
2y7w,4.98
4pd8,6.03
3oad,9.62
2viy,5.74
4ajn,7.16
4agc,10.70
3ia6,8.52
1y2f,4.92
5k48,6.60
5uez,6.01
4fcr,9.40
2z52,5.57
3sad,5.96
4ynd,8.55
4g5y,2.77
3daz,7.93
6h2t,4.82
4deu,5.64
2z4z,5.73
3ocz,7.46
4zek,5.66
6gop,9.15
5v8p,4.99
1xom,7.96
2r3l,7.00
2idk,5.54
3qel,6.49
4b1c,7.10
3n7h,4.50
2fwy,6.70
3eju,6.60
1fzq,7.62
2ha7,3.36
5afx,5.92
4u0x,6.23
6ce2,6.30
2dw7,4.70
4q0a,6.48
4ks3,6.37
4u79,6.40
4yxu,7.24
1hiy,3.08
4bdj,5.14
5n9r,5.59
2wou,7.14
3po6,7.06
5wbr,4.77
6g35,7.76
4yha,6.65
3r24,5.25
2vb8,4.60
6hdo,6.60
4edz,8.08
1ppl,8.55
5bpe,5.95
3rz1,8.74
5a46,7.66
2i4t,9.00
3qi1,7.66
5mwh,5.74
5fbo,9.51
5vsb,5.12
5cei,8.28
3dej,8.00
5czb,8.00
2qpu,3.60
5mnn,3.84
3k5d,7.28
4f0c,6.27
3ntp,4.92
5qar,3.77
2it4,1.62
5jsm,6.59
5v7a,6.38
2wxn,7.68
4mpe,6.37
5djv,7.11
2q8z,5.68
4cpx,7.77
5d3p,5.13
4y2t,3.82
5ulg,6.72
3r91,7.04
3wyx,8.37
1gfz,4.00
3oys,8.05
5cdh,5.37
5a8z,7.55
1nde,7.82
1uyh,4.84
3max,6.05
2ycm,3.56
3g1v,3.19
2wmv,5.04
5m0s,6.69
3lnk,5.94
1hxk,3.40
3pn1,6.96
4rcg,5.03
2za3,3.68
2hu6,3.81
4g5f,3.05
5uig,7.95
4uwg,8.15
5t19,4.49
5pzm,5.96
4x5z,7.63
1pwp,6.30
3sl5,7.66
1b6m,8.40
2y5g,6.84
3lpp,6.22
5ntw,9.22
6cvf,6.35
2brg,5.21
2vgo,6.30
3wq5,3.85
4aoi,8.40
4brx,6.49
2vmf,5.85
4bbe,8.44
5g3n,7.92
5xij,7.30
5t31,6.96
5l2y,9.85
2zft,6.52
1g42,3.01
3qin,6.87
3ipq,7.57
3wfg,6.92
4bio,5.12
4bdh,4.11
3l5c,5.15
6g3a,8.38
1e6q,3.15
1fo3,6.70
1a9u,7.32
2y80,8.05
3mpt,6.60
2cf9,7.82
3cen,8.26
2r3t,5.85
1bcj,3.70
1azm,6.10
3zki,5.92
4x2i,6.46
4i1r,4.65
1u3s,8.85
1tl3,6.20
4i6q,7.52
3unk,4.82
2qi6,10.57
4wef,2.59
4nbl,6.33
1c50,6.48
5cau,8.80
1o3j,6.77
5nfa,5.25
4zw7,4.72
4e26,6.40
4q1y,10.35
2w2i,6.04
6bbx,6.67
6en6,7.94
2uzb,6.92
4ok6,4.85
2kce,6.17
2vip,5.28
1lbf,7.85
5jdc,3.98
5mlj,8.85
2lh8,4.18
5svl,8.55
6c7q,9.15
4uff,7.96
3kfc,8.55
5fv7,6.74
4csj,8.31
4n8e,7.70
5vil,8.82
4kab,4.03
4ijh,4.33
4r5n,7.12
4h1m,7.11
2y7p,5.47
3ip5,6.22
1g3m,10.00
3kdm,7.00
5v1b,7.47
3hmm,7.60
4x11,2.22
5fdc,7.46
5nr7,6.02
5ioy,5.22
6ej2,7.80
5d45,6.92
2hrm,3.56
2r5a,2.60
2xno,5.93
4mul,6.21
2hiw,8.10
5a1f,4.61
1qbr,10.57
1v1j,4.82
3rak,6.89
5c2e,8.70
4a9n,5.82
4xtp,4.26
4cpw,7.50
5m7u,8.10
4ntj,7.36
5edq,8.70
3m36,9.82
6g6y,6.66
2exc,6.63
1fkh,8.15
6dxx,6.64
1d3q,6.54
5k1i,8.04
3k5i,4.70
1y3v,5.64
5iez,7.64
1hn4,3.82
3n9s,5.26
5w9g,6.82
4loq,8.15
6cwh,7.54
4h3g,8.22
5hbe,8.64
4y29,6.25
4hra,10.10
1tve,5.68
2mlm,5.21
5d3n,5.04
3ncz,7.82
1ec0,8.49
2ohs,4.40
5m7s,9.05
4lbu,6.56
4x8s,1.89
2yxj,9.30
4nni,5.50
1zsf,9.92
5u8a,7.89
5n18,5.68
2wxp,8.52
4jgv,6.57
1n5r,5.66
6e9a,11.92
4ufk,3.89
4fll,5.29
2y6o,7.60
1xh9,7.77
2k46,4.58
3fc8,5.39
3e7b,9.80
4n4t,7.31
5t8o,6.51
4ci1,6.60
4ufj,4.28
5tl9,9.00
5fum,4.74
3gba,9.07
6c1s,8.52
2ccb,7.45
5ula,7.11
4o2p,6.70
4e4n,9.05
2nta,4.80
1dhi,7.26
4zyf,8.64
5ekn,5.72
2ay6,3.11
3tvc,7.74
4lwe,7.15
1a42,9.89
3p7b,7.74
5csd,7.89
4ega,7.19
4lj8,5.82
3krr,9.32
1d5r,1.82
5nra,6.91
2nnv,7.52
4oag,6.30
3ddg,6.00
1j15,3.84
5vnd,6.49
4lww,7.54
2vwm,7.03
5oxg,5.89
2op3,6.31
4lys,4.34
5b5o,5.72
5q0d,9.00
1kc7,5.52
4wy3,3.62
5fdg,6.37
3ebi,7.10
1oe7,5.52
4kiw,5.12
1tkz,6.62
3dxj,6.22
1h6h,5.30
6guf,6.65
4ht0,8.00
4o4g,8.05
5ak4,4.23
4nrm,3.20
5qa9,3.64
5buj,8.30
2wnl,6.00
3nlb,7.46
2ggx,3.49
6boe,5.54
2fqo,6.43
2h1h,4.52
3nee,5.34
4qkd,4.09
3lm1,4.70
6eog,5.80
2xm1,5.07
4rx7,8.30
3ce0,6.15
1xnx,6.38
3h59,7.89
4hzw,8.88
1v79,7.89
1q6p,8.52
1pfy,8.15
4dve,9.52
4x50,7.75
5l4i,6.59
1ru1,4.74
1pvn,9.82
1xgj,6.00
5yjb,7.54
4pf3,7.29
2ofv,9.70
4qhc,6.70
5l9l,7.10
2rjp,7.00
4tk5,7.49
4j1k,7.89
2vaq,8.52
2ew6,4.97
5llp,9.24
5i3v,7.80
3txo,8.05
2ccc,7.76
1bug,4.37
4hy5,8.89
1m48,5.09
1yrs,6.35
3kme,6.14
4l33,8.15
1wvc,4.46
5mkj,4.31
3bi0,7.85
6ew7,5.54
5kmf,6.29
3pkc,6.02
6gji,3.87
3eeb,5.89
4q07,8.14
3haw,6.00
6f8v,4.80
4his,8.09
2z4w,6.01
2jjk,8.05
4ask,7.22
3qai,8.10
6g9h,8.40
2xg5,4.66
1ljt,5.15
4px6,8.40
3fal,6.78
2hd1,3.30
4w4v,6.94
2wed,6.10
5bms,6.34
1sw1,7.30
3dba,8.00
2oaz,8.70
6fgg,4.77
4dhs,4.80
2jkm,7.75
3wig,8.64
4tvj,7.91
2c68,5.74
2qhy,7.48
2bbb,8.62
2fkf,2.92
3udj,3.62
3is9,6.42
4eos,6.05
4j4n,6.88
5tq4,8.38
2haw,4.92
220l,3.40
3peq,7.50
5al1,4.28
4z8d,5.22
5uex,8.82
3msj,3.11
5aki,6.12
4ozo,3.83
4zh2,5.00
2xd6,6.19
3f82,8.34
3r6c,4.72
5t2p,5.72
4ikr,6.23
1f3e,6.70
4bfp,7.82
4dk7,7.70
5uor,8.20
5xpn,6.99
3vdc,4.92
1o48,6.35
6cyb,9.02
2zxb,5.30
2bal,6.31
6b4u,7.68
5yqw,7.51
1utm,3.01
2fum,6.10
4kxl,6.22
3e0p,7.92
3t70,6.30
2g2r,7.89
4l2x,7.41
4ymh,6.46
1qin,8.00
5kva,5.14
6b4l,6.47
6f22,8.70
5qin,10.40
3eml,8.74
3qi3,3.78
1d3p,7.39
4iva,7.16
3qt7,7.31
6dq5,5.19
3f18,7.40
5f4u,7.02
1xsc,4.30
6dcg,8.15
1lq2,8.77
1qbq,8.30
5h14,5.06
3qto,4.13
4ckr,6.98
2toh,4.15
1xbb,5.30
5u6b,9.89
5byy,7.01
3bea,8.15
4v05,9.70
4ye3,8.37
6fdq,3.95
5am4,6.95
4mg9,5.68
4xas,6.59
5k0m,8.82
4z1k,8.33
1rth,6.40
2rcn,6.00
1uyi,5.39
2qnb,5.34
1me8,7.19
5l8n,4.51
6aum,9.10
1m2r,6.46
5h1u,3.51
5wg9,5.59
4i8w,10.90
1j17,5.22
2isv,7.43
1hv5,8.30
1fkw,5.05
2w08,3.42
6f1x,7.70
4fli,5.44
1rgl,4.43
2q88,5.80
5dp8,6.36
4md6,7.77
6rnt,2.37
6f90,6.00
3w33,7.44
3arz,6.00
5oh4,4.55
4ura,5.50
2giu,8.82
4xya,5.86
4qwk,6.27
5vfc,9.05
4awp,7.09
